Egypt,,Alabien Kleros,,250,AD 250,253,AD 253,;
Egypt,,Alekto( ),,255,AD 255,255,AD 255,;
Egypt,Alexandria - Alexandrea,Alexandria,,-399,BC 399,1722,AD 1722,"31.1982456667,29.9079146667;"
Turkey,Colonia Alexandria Augusta Troas,Alexandreia,,-206,BC 206,799,AD 799,"39.7564735,26.1547495;"
Egypt,,Alexandreos Topos,,100,AD 100,250,AD 250,;
Egypt,Castra Alexandri,Castra Alexandri,east of L Pelousion (1662),1,AD 1,199,AD 199,;
Egypt,,Hagios Alexandros,,608,AD 608,608,AD 608,;
Egypt,,Alexandrou Nesos,near 00b Berenikis Aigialou (429),-299,BC 299,899,AD 899,;
Egypt,,Gaiou Iouliou Alexandrou Ousia,"in the territory of 00b Theadelpheia (Batn el-Harit) (2349), 00b Euhemeria (Qasr el-Banat) (675)",26,AD 26,175,AD 175,;
ghost name,,Alexantrekou Chorion,,0,AD 0,0,AD 0,;
Egypt,,Alil Epoikion,near 00d Krokodilopolis (Medinet el-Fayum) (327),644,AD 644,644,AD 644,;
Egypt,,Alines,in the territory of 00c Memphis (1343),176,AD 176,179,AD 179,;
Egypt,,Alk[ ],,240,AD 240,240,AD 240,;
Egypt,,Alkias,,75,AD 75,125,AD 125,;
Egypt,,Alkimou Kleros,in the territory of 00c Talithis (2236),25,AD 25,26,AD 26,;
Greece,,Allarion,,0,AD 0,0,AD 0,"35.376405,24.599822;"
Egypt,,Alleichos,,130,AD 130,150,AD 150,;
Egypt,,Alleon?,,47,AD 47,47,AD 47,;
Egypt,,Allipau.[ ] Chorion,,400,AD 400,599,AD 599,;
Egypt,,Alolo Epoikion,,616,AD 616,616,AD 616,;
Cyprus,,Alonia tou Episkopou,,0,AD 0,0,AD 0,;
Egypt,,Alonias Epoikion,,255,AD 255,255,AD 255,;
Egypt,,Alsos,,100,AD 100,263,AD 263,;
Egypt,,Althaieus,in L00 Alexandria (100),-146,BC 146,399,AD 399,;
Egypt,,Alykos,,0,AD 0,0,AD 0,;
Egypt,,Alypinous Chorion,,600,AD 600,799,AD 799,;
Egypt,,Alypiou,near 00b Theadelpheia (Batn el-Harit) (2349),260,AD 260,260,AD 260,;
Egypt,,Alypiou Amphodon,in 00d Krokodilopolis (Medinet el-Fayum) (327),400,AD 400,699,AD 699,;
Egypt,,Alypiou Ousia,in 00b Thraso (2417),305,AD 305,306,AD 306,;
Egypt,,Am..a.[ ],,-299,BC 299,-200,BC 200,;
Egypt,,Amaei,,156,AD 156,725,AD 725,;
Egypt,,Amatheele Oikos,,500,AD 500,699,AD 699,;
Egypt,,Amande.[ ],in the territory of 00a Philadelpheia (Gharabet el-Gerza) (1760),-263,BC 263,-229,BC 229,;
Cyprus,,Amargetti,,0,AD 0,0,AD 0,"34.82441,32.58174;"
Cyprus,Amathus,Amathous,ca. 9 km east of Nea Polis (Limassol) (12172),-299,BC 299,450,AD 450,"34.712264,33.13708095;"
Egypt,,Amatiou Kleros,in the territory of 00c Talithis (2236),108,AD 108,108,AD 108,;
Egypt,,Ameinis Kleros,in the territory of 00c Theogonis (2376),48,AD 48,48,AD 48,;
Jordan,,Ammanitis,,-259,BC 259,-259,BC 259,;
Egypt,,Ammegina,in the territory of 00c Tebtynis (2287),33,AD 33,33,AD 33,;
Egypt,,Ammetidos Dioryx,in the territory of 00c Theogonis (2376),33,AD 33,34,AD 34,;
Egypt,,Amminon Epoikion,"near 00b Euhemeria (Qasr el-Banat) (675), 00b Taurinou Kome (2276)",39,AD 39,299,AD 299,;
